sample_id,se1_date,village,zone,tapstand_code,se1_time,se1_frc,se1_trc,se1_turb,se1_airtemp,se1_wattemp,se1_cond,se1_ph,se1_orp,resp_consent,sa_cont,sa_cover,sa_clean,sa_opacity,sa_colour,se2_time,se2_frc,se2_trc,se2_turb,se2_wattemp,se2_cond,se2_ph,se2_orp,hh_steps,hh_minutes,se3_time,se3_frc,se3_trc,se3_turb,se3_wattemp,se3_cond,se3_ph,se3_orp,se4_time,se4_date,timelapse4,se4_frc,se4_trc,se4_turb,se4_airtemp,se4_wattemp,se4_cond,se4_ph,se4_orp,sb_watertransfer,sb_watermix,sb_waterused,sb_waterleft,sb_drawing,sb_cont,sb_cover,sb_clean,sb_opacity,sb_colour,sb_inout,sb_sunshade,,,,,,,,,,,
47,7/24/14,3,10,8,8:40,0.69,0.76,1.29,25.2,26.5,702,7.69,650,1,4,1,1,1,1,8:58,0.84,0.84,1.19,25.9,710,7.59,710,106,1.0,9:10,0.53,0.56,2.95,26.0,709,7.99,753,15:30,7/24/14,6:50,0.19,0.14,1.86,29.4,32.1,683,7.53,388,0,0,0,1.00,1,4,1,1,1,1,,,,,,,,,,,,,
48,7/24/14,3,10,8,8:40,0.74,0.78,1.40,25.8,26.7,633,7.09,554,1,1,1,1,1,1,8:55,0.72,0.74,1.80,27.2,721,7.30,579,140,2.0,9:10,0.72,0.75,2.71,26.6,720,7.16,602,15:10,7/24/14,6:30,0.79,0.81,2.65,34.5,30.1,729,7.07,538,0,0,0,1.00,1,1,1,1,1,1,,,,,,,,,,,,,
49,7/24/14,3,10,8,9:30,0.87,0.93,1.49,27.7,27.1,706,7.58,752,1,,1,1,1,1,9:58,1.12,1.20,0.94,27.3,715,7.60,716,80,0.5,10:15,0.63,0.73,1.92,27.9,717,7.53,766,15:20,7/24/14,5:50,0.76,0.81,1.30,35.0,31.8,716,7.60,611,0,0,0,1.00,1,,1,1,1,1,,,,,,,,,,,,,
50,7/24/14,3,10,8,9:30,1.22,1.26,2.14,26.5,27.0,586,7.14,622,1,1,1,1,1,1,9:50,1.06,1.14,3.37,27.4,722,7.25,608,55,1.0,10:00,0.76,0.83,2.58,26.9,710,7.18,636,15:45,7/24/14,6:15,0.74,0.81,0.92,30.2,31.4,723,7.25,581,0,0,0,1.00,1,1,1,1,1,1,,,,,,,,,,,,,
51,7/24/14,3,10,8,10:15,1.04,1.16,2.22,27.5,26.8,710,7.12,640,1,1,0,2,1,1,10:30,0.46,0.48,2.59,27.9,738,7.28,585,75,1.0,11:00,0.68,0.74,2.06,27.1,736,7.27,633,15:35,7/24/14,5:20,0.14,0.10,2.23,28.8,35.6,751,7.36,329,0,0,0,1.00,1,1,0,2,1,1,0,0,,,,,,,,,,,
52,7/24/14,3,10,8,10:40,0.87,0.94,1.78,28.6,27.6,706,7.64,707,1,4,1,1,1,1,10:50,0.85,0.92,1.09,28.6,707,7.55,712,150,2.0,11:03,0.68,0.75,1.57,28.7,714,7.68,679,15:49,7/24/14,5:09,0.32,0.31,1.80,31.3,30.9,710,7.65,677,0,0,0,1.00,1,4,1,1,1,1,,,,,,,,,,,,,
53,7/30/14,6,3,J8/7,8:35,0.74,0.73,3.47,24.6,26.8,1050,7.68,417,1,1,0,2,1,1,9:10,0.63,0.61,1.40,27.6,929,7.62,507,60,1.0,9:20,0.60,0.58,0.95,26.8,1023,7.67,532,15:15,7/30/14,6:40,0.10,0.13,1.78,35.2,36.6,1044,7.80,242,0,0,0,1.00,1,1,0,2,1,1,0,0,,,,,,,,,,,
54,7/30/14,6,3,J8/7,8:38,0.67,0.58,3.97,26.9,27.5,772,8.22,560,1,2,1,3,1,1,9:10,0.37,0.38,3.98,28.5,1050,8.10,558,100,1.0,9:30,0.28,0.37,4.36,26.8,1048,8.06,536,15:17,7/30/14,6:39,0.29,0.34,4.19,39.5,34.6,1016,7.89,477,0,0,0,1.00,1,2,1,3,1,1,,,,,,,,,,,,,
55,7/30/14,6,3,J8/7,9:35,1.02,1.06,1.82,24.5,27.3,809,7.37,507,1,1,0,2,1,1,9:45,1.02,1.04,3.89,27.4,711,7.69,569,155,2.0,10:05,0.55,0.57,1.52,27.2,740,7.81,598,15:40,7/30/14,6:05,0.08,0.08,3.26,35.2,36.6,792,7.84,280,0,0,0,1.00,1,1,0,2,1,1,0,0,,,,,,,,,,,
56,7/30/14,6,4,J8/6,9:50,0.90,1.16,4.29,28.2,27.1,747,8.02,630,1,1,0,2,1,1,10:10,0.75,0.75,3.43,28.6,783,7.64,515,100,1.0,10:27,0.87,0.91,3.82,27.4,755,7.99,608,15:36,7/30/14,5:46,0.78,0.77,3.19,31.1,30.5,756,7.79,581,0,0,0,1.00,1,1,0,2,1,1,,,,,,,,,,,,,
